"id","username","lastname","firstname","email","password","token","auth_key","email_notification","avatar","active","created_at","updated_at"
1,"jaqueline.kuhn","Prohaska","Twila","mcclure.whitney@larson.bizz1","$2y$13$H2M/usbMF5XJX0qb6imND.T3XNes1gWAnHmN0Ou2r1QE/8dQtUhvW","f4oGsEwCw8YrlH4C5M5TaF-AG2mjh8y7","PxpwGUG6yRueW0e59BKVFrIzhvB1Kc5r",0,"ED1TiJ3HKi2m4l9duARLEGH0DmfsOrnr.jpg",1,NULL,"2015-03-20 17:19:31"
2,"rex91","Cartwright","Kim","radams@yahoo.com","$2y$13$djseGQlCMk1rHXoRs3gnPubMQ6N9Tl0iZMf3uMXyGyoRKlLtDg2gy","lHqiAMOEhPqX5tx0u-m11f6gJtPOpfi5","wg-jbe41IMJa0rOS8NL0cePSHeqt4l4y",0,NULL,0,NULL,NULL
3,"kris.sallie","Fadel","Oswaldo","joanne28@gmail.com","$2y$13$djseGQlCMk1rHXoRs3gnPubMQ6N9Tl0iZMf3uMXyGyoRKlLtDg2gy","mExNf77mhYiIV2js9VaA5u0cTeVw8u1H","P0EK9_f32_a3pHVZYRDlSRXACOZHvaSr",0,NULL,0,NULL,NULL
4,"mercedes82","Anderson","Brendan","powlowski.enid@hotmail.com","$2y$13$djseGQlCMk1rHXoRs3gnPubMQ6N9Tl0iZMf3uMXyGyoRKlLtDg2gy","CXOQOoQxiC13oSSMIdtmNv-pgViJxpkR","cuJ7-yvSIgii9dzf6JSeWMNlJ0a_SZSh",0,NULL,0,NULL,NULL
5,"satterfield.kristopher","Hessel","Dina","erick.zemlak@gmail.com","$2y$13$djseGQlCMk1rHXoRs3gnPubMQ6N9Tl0iZMf3uMXyGyoRKlLtDg2gy","nt9FQY1h9_AcAXRHZkyHJ4URtL75rYps","TY0sLvM8Ymt_fOAI-gVMjP9JzOEWvOXC",0,NULL,0,NULL,NULL
6,"ramona75","Parisian","Austin","ykoelpin@yahoo.com","$2y$13$djseGQlCMk1rHXoRs3gnPubMQ6N9Tl0iZMf3uMXyGyoRKlLtDg2gy","0pIbBHPenU8VX6vJlYuQO6Sl3RZw_fnk","JXO50n12OxnwBpbl2Mj538V2OC-36FJD",0,NULL,1,NULL,NULL
7,"stamm.kariane","Connelly","Tad","lwolff@fritsch.com","$2y$13$djseGQlCMk1rHXoRs3gnPubMQ6N9Tl0iZMf3uMXyGyoRKlLtDg2gy","E-HXnFSCfRxncgefiyBz90oDiXxMVt6X","7GZHSHm8Gao6Ynm-rqOrQIAGvXjT0YE2",0,NULL,1,NULL,NULL
8,"ethel93","Keebler","Fabian","murl94@gmail.com","$2y$13$djseGQlCMk1rHXoRs3gnPubMQ6N9Tl0iZMf3uMXyGyoRKlLtDg2gy","UZ4Ba7aEe57mI2oA86Ie2BNyVD_yvoGJ","glkoF8UFkmtkzBoccnDyETM1FvG4c3Yt",0,NULL,1,NULL,NULL
9,"joaquin28","Kassulke","Merle","scormier@hotmail.com","$2y$13$djseGQlCMk1rHXoRs3gnPubMQ6N9Tl0iZMf3uMXyGyoRKlLtDg2gy","M9e3FfjAcqRsj--zkLTRanFJJIiibp6m","FkAfLvS_4w7BkJx-RIRtm2C8Uh8p1oly",0,NULL,0,NULL,NULL
10,"adfs",11111,"adfa","jaqueline.kuhn111@gmail.com","$2y$13$oJLOO4ze4spewWhC85v/oOhpyCuKs1QdtjGrskvIX/YTEVWVyY75a","CPSNzGBzYsh8fDjlsQth8lF1dO9vI-SU","EODtzY0z6pA9RpNb141cyOwDERBFor-U",0,"ED1TiJ3HKi2m4l9duARLEGH0DmfsOrnr.jpg",1,"2015-02-05 09:30:02","2015-02-05 09:30:02"
11,"adfs",11111,"adfa","jaqueline.kuhn111@gmail.com","$2y$13$oJLOO4ze4spewWhC85v/oOhpyCuKs1QdtjGrskvIX/YTEVWVyY75a","CPSNzGBzYsh8fDjlsQth8lF1dO9vI-SU","EODtzY0z6pA9RpNb141cyOwDERBFor-U",0,"ED1TiJ3HKi2m4l9duARLEGH0DmfsOrnr.jpg",1,"2015-02-05 09:30:02","2015-02-05 09:30:02"
